Label,Label_Name,Images_Present,Pixel_Count
1,candy,17,2096670
2,egg tart,2,168691
3,french fries,131,25881748
4,chocolate,37,1828133
5,biscuit,182,15258761
6,popcorn,9,3614078
7,pudding,4,596173
8,ice cream,496,37258160
9,cheese butter,222,19947676
10,cake,255,29069627
11,wine,75,4537696
12,milkshake,64,8367926
13,coffee,102,2075961
14,juice,92,9250303
15,milk,39,1803999
16,tea,14,320764
17,almond,53,903761
18,red beans,16,2164208
19,cashew,11,447206
20,dried cranberries,15,455465
21,soy,26,6573348
22,walnut,30,523042
23,peanut,4,29437
24,egg,181,29993810
25,apple,85,5941816
26,date,4,446039
27,apricot,17,3161111
28,avocado,47,6667809
29,banana,85,6888636
30,strawberry,307,21744119
31,cherry,120,5456205
32,blueberry,117,5032632
33,raspberry,35,1834630
34,mango,28,1772354
35,olives,29,673489
36,peach,56,5312134
37,lemon,342,17774961
38,pear,28,2855178
39,fig,16,4110302
40,pineapple,72,10243961
41,grape,92,4764089
42,kiwi,32,2037091
43,melon,15,1253077
44,orange,155,6842157
45,watermelon,20,2157197
46,steak,569,95337446
47,pork,393,97814104
48,chicken duck,669,187114858
49,sausage,155,25182900
50,fried meat,118,29029651
51,lamb,59,12838688
52,sauce,641,52689789
53,crab,11,2266717
54,fish,216,39595367
55,shellfish,22,3888176
56,shrimp,86,21700016
57,soup,55,6637514
58,bread,794,138670841
59,corn,277,52291222
60,hamburg,3,130315
61,pizza,45,6449384
62,hanamaki baozi,16,2312024
63,wonton dumplings,6,1364582
64,pasta,91,46228618
65,noodles,155,56424150
66,rice,375,84108639
67,pie,311,54537413
68,tofu,37,7516990
69,eggplant,18,2366881
70,potato,638,106451868
71,garlic,54,2257923
72,cauliflower,131,9243113
73,tomato,633,36657723
74,kelp,1,3670
75,seaweed,6,708290
76,spring onion,106,4248455
77,rape,45,3958921
78,ginger,17,703841
79,okra,11,596447
80,lettuce,336,38849568
81,pumpkin,63,14217811
82,cucumber,289,27905548
83,white radish,33,2550749
84,carrot,715,40496407
85,asparagus,158,20328723
86,bamboo shoots,2,7224
87,broccoli,586,82364253
88,celery stick,116,7736640
89,cilantro mint,508,26247984
90,snow peas,39,1142933
91,cabbage,79,7757474
92,bean sprouts,22,3928194
93,onion,307,19021962
94,pepper,250,16584374
95,green beans,119,12825622
96,French beans,197,20416364
97,king oyster mushroom,8,316219
98,shiitake,68,11283989
99,enoki mushroom,3,74081
100,oyster mushroom,6,475814
101,white button mushroom,82,4431124
102,salad,10,533259
103,other ingredients,129,10404694
